Start	End	Type	Weight
YWHAQ	BAD	0	1
YWHAQ	BAX	0	1
YWHAQ	BCL2	0	1
YWHAQ	FKHRL1	0	1
YWHAQ	FORKHEAD	0	1
A20	MKP1	0	1
A20	TRAF2	0	1
A20	TRAF6	0	1
a2-Antiplasmin	PLASMIN	0	1
Ab-R	D4-GDI	0	1
Ab-R	GSK3B	0	1
Ab-R	TAU	0	1
ABL1	CDK5	0	1
ABL1	CRK	0	1
ABL1	JNK	0	1
ABL1	p14ARF	0	1
ABL1	P73	0	1
ABL1	RAD51	0	1
ABL1	RAD9	0	1
ABL1	VAV2	0	1
ABL1	DOK	0	1
ABL1	TP53BP1	0	1
AC	ATP	0	1
AC	CAMP	0	1
AC	GAS	0	1
ACHRE	CALM3	0	1
ACTG	APAF1	0	1
ACTN1	ACTIN	0	1
ADAM12	EGF	0	1
AFX	FAS	0	1
AGTR1	Ca++	0	1
AGTR1	JAK1	0	1
AGTR2	NBS1	0	1
AKAP13	RHOA	0	1
AKT	AFX	0	1
AKT	BAD	0	1
AKT	CASP9	0	1
AKT	CREB	0	1
AKT	FKHRL1	0	1
AKT	GCK	0	1
AKT	GR	0	1
AKT	GSK3A	0	1
AKT	GSK3B	0	1
AKT	Gy	0	1
AKT	Hsp90	0	1
AKT	IKK2	0	1
AKT	IKKA	0	1
AKT	IKKy	0	1
AKT	MDM2	0	1
AKT	MEKK	0	1
AKT	MLK1	0	1
AKT	MTOR	0	1
AKT	NOS3	0	1
AKT	PAK1	0	1
AKT	RAF1	0	1
AKT	RAC1	0	1
AKT	SOD	0	1
AKT	STAT3	0	1
AKT	TERT	0	1
AKT	TSC1	0	1
AKT	ACTIN	0	1
AKT	FORKHEAD	0	1
AKT	MEKK4	0	1
AKT	MLK	0	1
AKT	TP53BP1	0	1
AKT	MLK3	0	1
ALK3	ATF2	0	1
AMP	AMPK	0	1
AMPK	ACC	0	1
AMPK	P21	0	1
ANF	pGC	0	1
APAF1	CASP9	0	1
APAF1	CYCS	0	1
APAF1	MAL	0	1
APC	AXIN	0	1
APC	CTNNB1	0	1
APLP1	Ub	0	1
ARF1	PKCE	0	1
ARF1	PLCD1	0	1
ARHGAP1	RHOA	0	1
ARHGAP1	ROCK2	0	1
ARHGAP1	CITRON	0	1
ARHGAP1	PIP5K	0	1
ARHGAP4	RHOA	0	1
ARHGAP5	Rho	0	1
ARHGAP5	RHOA	0	1
ARHGAP6	RHOA	0	1
ARHGEF1	ARHGAP1	0	1
ARHGEF1	RHOA	0	1
ARHGEF11	RHOA	0	1
ARHGEF5	RHOA	0	1
ARNT	AHR	0	1
ARP2	ACTIN	0	1
